model,seed,QLIKE,OOS_R2,n
MLP,0,0.6475150364007533,-12.162599874490866,292
LSTM,0,0.3685606459422583,13.703142324678508,292
MLP,7,0.7720995393831522,-38.73247489870732,292
LSTM,7,0.3483396092355997,18.36263853445883,292
MLP,13,0.8719969470772928,8.840291587660564,292
LSTM,13,0.36966400494509766,10.656983847768963,292
MLP,21,1.0204466601101294,-12.173034707637044,292
LSTM,21,0.3473221966212313,22.234070763901205,292
MLP,42,0.6609841568475572,-72.701848746596,292
LSTM,42,0.3678660430669794,-439.3615255516206,292
