,sharpe,t_stat,mean_ann,vol_ann,skew,kurt,worst,ES5,mdd,QLIKE,OOS_R2
RAW(무관리),0.5647,2.7855,18.9183,33.5028,0.0111,4.0979,-46.6181,-19.7033,-66.9826,,
ExpandingMean,0.561,2.7673,5.6176,10.0137,0.0383,2.8465,-12.7289,-5.8752,-27.2365,0.4933,0.0
RW126,0.5947,2.9337,8.3627,14.0613,-0.3171,2.164,-18.7897,-8.502,-39.1733,0.3338,28.0166
EWMA,0.6089,3.0038,8.5116,13.9777,-0.3149,2.1907,-18.4853,-8.4467,-38.8049,0.2912,33.6345
HAR,0.6329,3.1223,7.8869,12.4606,-0.1773,1.8085,-14.7192,-7.3958,-33.7871,0.2736,28.2959
HARX,0.6634,3.2725,8.2383,12.4183,-0.0444,1.4881,-13.7316,-7.164,-33.2338,0.2812,30.8296
Ridge,0.6346,3.1304,8.7041,13.7157,-0.0599,1.0421,-14.3579,-7.8157,-35.9816,0.2699,35.09
Lasso,0.6435,3.1743,8.2468,12.8155,-0.0539,1.4376,-14.2932,-7.3376,-33.919,0.2921,32.6776
RF,0.6211,3.0637,8.309,13.3782,-0.1639,1.8437,-16.13,-7.7629,-35.7983,0.2715,33.7781
HGB,0.5914,2.9173,8.1602,13.7984,-0.1649,1.4465,-16.2247,-8.3035,-37.2976,0.2905,33.3601
MLP,0.5299,2.614,9.0855,17.145,0.4827,4.9551,-18.4683,-10.3597,-42.9481,0.661,-72.7018
LSTM,0.5876,2.8987,7.7853,13.2489,-0.0987,1.7727,-14.6177,-7.7692,-35.6704,0.3679,-439.3615
ENS,0.623,3.073,8.1414,13.0688,-0.1453,1.4044,-14.3725,-7.6408,-35.2691,0.2532,38.9478
