,QLIKE,OOS_R2,Sharpe,ES5,skew,worst
ExpandingMean,0.9363,0.0,0.5688,-9.2,-1.3059,-24.6294
RW126,0.3374,41.1826,0.9414,-9.572,-0.2535,-25.3443
EWMA,0.439,23.0887,0.8401,-9.9377,-0.4011,-18.4051
HAR,0.2692,46.9121,0.9266,-9.928,-0.2763,-21.9984
HARX,0.2631,49.3274,0.9379,-9.7864,-0.2503,-15.1862
Ridge,0.2589,50.8454,0.9345,-9.7803,-0.2616,-18.3923
Lasso,0.2604,50.4892,0.9344,-9.8016,-0.2743,-19.2856
RF,0.2842,44.6131,0.9191,-9.9341,-0.2569,-17.2234
HGB,0.3061,45.4231,0.923,-9.9316,-0.3054,-18.2318
ENS,0.2574,49.7461,0.9343,-9.6978,-0.2627,-18.3154
무관리,,,0.5633,-17.7983,-1.3959,-45.18
